TBOXID,MONTH_START,TOTAL_DISTANCE_KM,USAGE_TYPE,NO_OF_SWAPS,NO_OF_HOMECHARGINGS,FREQUENT_SWIPING_STATIONS,AVG_DISTANCE_PER_PERIOD
865209069519271,2025-07-01 00:00:00.000,213.727107819,High Usage,0,8,HOME_CHARGING,7.92
865209069546258,2025-03-01 00:00:00.000,113.669803744,Medium Usage,8,0,"Soysapura Station, Moratuwa replace Station",16.24
862487061383200,2025-07-01 00:00:00.000,127.617743019,Medium Usage,0,5,HOME_CHARGING,15.95
865209069519966,2025-08-01 00:00:00.000,79.406005414,Medium Usage,1,5,"HOME_CHARGING, Katunayake Station",7.22
865209069519883,2024-11-01 00:00:00.000,44.658687035,Low Usage,4,0,"Seeduwa Station, Miriswatta Station",2.13
865209069519859,2025-08-01 00:00:00.000,0,Low Usage,1,3,"HOME_CHARGING, Padukka Station",
865209069519156,2024-12-01 00:00:00.000,82.977259378,Medium Usage,5,0,"Kadawatha Station, Seeduwa Station, Paliayagoda Station",9.22
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
,2025-09-01 00:00:00.000,0,Low Usage,1,0,Boralla Temporary Station,
862487061409328,2025-10-01 00:00:00.000,206.821313624,High Usage,0,1,HOME_CHARGING,10.34
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
,2025-09-01 00:00:00.000,0,Low Usage,1,0,Maggona,
865209069519669,2025-09-01 00:00:00.000,66.199458207,Medium Usage,1,0,Moratuwa replace Station,3.89
865209069520857,2025-07-01 00:00:00.000,46.660271698,Low Usage,0,4,HOME_CHARGING,2.46
862487061350183,2025-06-01 00:00:00.000,435.719326021,High Usage,0,1,HOME_CHARGING,19.81
865209069546068,2025-04-01 00:00:00.000,489.398946991,High Usage,34,0,"Thalawathugoda New Station, Boralesgamuwa new Station",30.59
865209069546332,2025-09-01 00:00:00.000,711.849656747,High Usage,0,28,HOME_CHARGING,25.42
865209069519842,2025-07-01 00:00:00.000,935.78061713,High Usage,0,23,HOME_CHARGING,34.66
865209069519313,2024-10-01 00:00:00.000,598.127093562,High Usage,22,0,Moratuwa replace Station,19.94
865209069546290,2025-06-01 00:00:00.000,568.318028713,High Usage,0,22,HOME_CHARGING,31.57
862487061347700,2025-08-01 00:00:00.000,609.748059286,High Usage,0,21,HOME_CHARGING,21.03
862487061332041,2025-09-01 00:00:00.000,680.380211984,High Usage,0,19,HOME_CHARGING,24.3
865209069520501,2024-10-01 00:00:00.000,626.343378272,High Usage,19,0,"Minuwangoda Station, Udugampola Station",20.88
862487061409609,2025-08-01 00:00:00.000,728.453424413,High Usage,3,16,"HOME_CHARGING, Kuliyapitiya",25.12
,2025-10-01 00:00:00.000,0,Low Usage,0,16,HOME_CHARGING,
865209069519354,2025-06-01 00:00:00.000,1113.781801304,High Usage,29,12,"Panadura  1 Station, HOME_CHARGING, Soysapura Station",37.13
865209069520865,2025-09-01 00:00:00.000,301.551781646,High Usage,2,14,"HOME_CHARGING, Kalutara North",12.56
862487061363020,2025-10-01 00:00:00.000,227.400669753,High Usage,0,14,HOME_CHARGING,56.85
862487061377608,2025-08-01 00:00:00.000,302.717027363,High Usage,0,10,HOME_CHARGING,14.42
865209069519875,2025-05-01 00:00:00.000,169.876033439,High Usage,0,9,HOME_CHARGING,15.44
862487061347460,2025-08-01 00:00:00.000,274.490884827,High Usage,0,9,HOME_CHARGING,9.15
862487061409781,2025-09-01 00:00:00.000,503.434383486,High Usage,1,9,"HOME_CHARGING, Soysapura Station",18.65
862487061422065,2025-07-01 00:00:00.000,583.964977377,High Usage,9,1,"Agalawaththa, Dharga Town Station, HOME_CHARGING",19.47
865209069521061,2025-07-01 00:00:00.000,114.967955581,Medium Usage,7,1,"Miriswatta Station, HOME_CHARGING",8.21
865209069546431,2025-04-01 00:00:00.000,230.885817272,High Usage,8,0,"Moratuwa replace Station, Soysapura Station",12.83
862487061333106,2025-08-01 00:00:00.000,316.718685054,High Usage,1,6,"HOME_CHARGING, Kuliyapitiya",16.67
865209069519172,2025-08-01 00:00:00.000,112.757446723,Medium Usage,6,0,Panadura  1 Station,7.05
865209069519263,2025-05-01 00:00:00.000,141.536862375,Medium Usage,4,5,"HOME_CHARGING, Boralla Temporary Station, Boralesgamuwa new Station",28.31
865209060779635,2025-02-01 00:00:00.000,79.890930552,Medium Usage,4,0,Boralla Temporary Station,2.96
865209069520030,2025-04-01 00:00:00.000,14.787357392,Low Usage,0,4,HOME_CHARGING,1.48
862487061422248,2025-06-01 00:00:00.000,419.453532008,High Usage,0,3,HOME_CHARGING,13.98
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
865209069518539,2025-10-01 00:00:00.000,623.975801533,High Usage,1,0,Soysapura Station,36.7
865209069520972,2024-12-01 00:00:00.000,10.436799352,Low Usage,1,0,Maggona,1.49
862487061350001,2025-06-01 00:00:00.000,479.038036314,High Usage,22,1,"Dharga Town Station, HOME_CHARGING, Beruwala Station",15.97
862487061409948,2025-07-01 00:00:00.000,0,Low Usage,17,4,"Panadura  1 Station, HOME_CHARGING",
,2025-10-01 00:00:00.000,0,Low Usage,12,0,Kuliyapitiya,
865209060771624,2025-09-01 00:00:00.000,227.632132149,High Usage,0,10,HOME_CHARGING,8.43
865209069520857,2025-05-01 00:00:00.000,359.831940681,High Usage,3,9,"HOME_CHARGING, Maggona",18.94
865209069546431,2025-02-01 00:00:00.000,163.790886218,High Usage,7,0,Moratuwa replace Station,8.19
865209060263697,2025-06-01 00:00:00.000,136.665675153,Medium Usage,6,0,Panadura  1 Station,13.67
862487061363525,2025-07-01 00:00:00.000,183.014594096,High Usage,0,6,HOME_CHARGING,6.1
865209069520444,2025-05-01 00:00:00.000,61.818778769,Medium Usage,5,6,"HOME_CHARGING, Maggona",3.64
865209069518539,2025-02-01 00:00:00.000,221.227756943,High Usage,12,0,"Soysapura Station, Boralesgamuwa new Station, Boralla Temporary Station",17.02
865209069519255,2024-12-01 00:00:00.000,53.499942486,Medium Usage,5,0,Moratuwa replace Station,4.46
862487061433161,2025-10-01 00:00:00.000,111.588992111,Medium Usage,0,5,HOME_CHARGING,5.58
862487061347445,2025-09-01 00:00:00.000,916.680174967,High Usage,4,0,Kuliyapitiya,35.26
862487061405144,2025-10-01 00:00:00.000,210.971935356,High Usage,0,4,HOME_CHARGING,10.55
865209069520550,2025-02-01 00:00:00.000,436.851440631,High Usage,4,1,"Beruwala Station, Maggona, HOME_CHARGING",18.99
865209069519990,2025-04-01 00:00:00.000,63.13125434,Medium Usage,5,0,"Soysapura Station, Bandaragama Station, Panadura  1 Station",4.51
865209069520022,2025-07-01 00:00:00.000,0,Low Usage,1,0,Panadura  1 Station,
,2024-08-01 00:00:00.000,0,Low Usage,2,0,"Divulapitiya Station3, Factory4",
865209069519255,2024-03-01 00:00:00.000,187.393436972,High Usage,1,0,Moratuwa Station,8.92
862487061332264,2025-06-01 00:00:00.000,56.67117387,Medium Usage,0,1,HOME_CHARGING,3.78
865209060765386,2024-02-01 00:00:00.000,101.284655502,Medium Usage,11,0,"Boralesgamuwa new Station, Thalawathugoda Station",11.25
862487061433187,2025-08-01 00:00:00.000,181.380361615,High Usage,0,7,HOME_CHARGING,7.26
862487061332108,2025-09-01 00:00:00.000,67.006651042,Medium Usage,1,7,"HOME_CHARGING, Bandaragama Station",3.05
865209069546084,2025-06-01 00:00:00.000,13.797872226,Low Usage,1,4,"HOME_CHARGING, Maggona",2.76
,2025-09-01 00:00:00.000,0,Low Usage,2,0,Moratuwa replace Station,
865209069519925,2025-06-01 00:00:00.000,1.571066226,Low Usage,0,1,HOME_CHARGING,1.57
865209069518968,2025-04-01 00:00:00.000,3.308371226,Low Usage,0,1,HOME_CHARGING,1.65
123456,2023-08-01 00:00:00.000,0,Low Usage,1,0,TEST001,
Deleted 02,2023-08-01 00:00:00.000,0,Low Usage,1,0,TEST001,
865209069545904,2025-06-01 00:00:00.000,47.513197663,Low Usage,5,0,"Kadawatha Station, Boralla Temporary Station, Paliayagoda Station",15.84
865209069546290,2025-05-01 00:00:00.000,675.033325528,High Usage,0,32,HOME_CHARGING,28.13
865209069545797,2025-08-01 00:00:00.000,1459.596428773,High Usage,30,0,"Bandaragama Station, Panadura  1 Station",47.08
862487061332363,2025-10-01 00:00:00.000,1268.552775205,High Usage,0,19,HOME_CHARGING,63.43
865209069519313,2025-08-01 00:00:00.000,421.958081505,High Usage,18,0,Moratuwa replace Station,13.61
865209069546233,2025-07-01 00:00:00.000,719.339098791,High Usage,9,18,"HOME_CHARGING, Boralesgamuwa new Station, Kolonnawa Station",24.8
862487061332249,2025-10-01 00:00:00.000,573.802738074,High Usage,0,18,HOME_CHARGING,28.69
862487061433542,2025-06-01 00:00:00.000,866.776853048,High Usage,27,1,"Bandaragama Station, Panadura  1 Station, HOME_CHARGING",29.89
862487061423220,2025-10-01 00:00:00.000,110.395604044,Medium Usage,0,17,HOME_CHARGING,22.08
865209069519214,2025-08-01 00:00:00.000,299.381900254,High Usage,2,16,"HOME_CHARGING, Moratuwa replace Station",10.32
865209069546480,2025-05-01 00:00:00.000,1311.077095084,High Usage,35,5,"Padukka Station, Thalawathugoda New Station, HOME_CHARGING",52.44
865209069519867,2025-06-01 00:00:00.000,564.57813978,High Usage,4,16,"HOME_CHARGING, Maggona",18.82
865209069519438,2025-06-01 00:00:00.000,431.835241474,High Usage,22,0,"Panadura  1 Station, Moratuwa replace Station, Bandaragama Station",20.56
865209069521194,2025-05-01 00:00:00.000,506.005674881,High Usage,4,14,"HOME_CHARGING, Thalawathugoda New Station",21.08
865209060173102,2025-09-01 00:00:00.000,261.59302743,High Usage,0,14,HOME_CHARGING,10.46
Deleted,2023-11-01 00:00:00.000,0,Low Usage,13,0,TestStation,
Deleted 01,2023-11-01 00:00:00.000,0,Low Usage,13,0,TestStation,
865209069518539,2025-06-01 00:00:00.000,457.421457804,High Usage,23,0,"Boralesgamuwa new Station, Soysapura Station, Boralla Temporary Station",19.89
862487061363426,2025-08-01 00:00:00.000,402.25323677,High Usage,0,13,HOME_CHARGING,13.41
865209069546316,2025-09-01 00:00:00.000,196.987521113,High Usage,1,11,"HOME_CHARGING, Panadura  1 Station",8.21
,2025-10-01 00:00:00.000,0,Low Usage,12,0,"Padukka Station, Soysapura Station",
865209060215168,2025-08-01 00:00:00.000,218.801686525,High Usage,2,10,"HOME_CHARGING, Thalawathugoda New Station, Kiribathgoda Station",13.68
862487061409385,2025-08-01 00:00:00.000,320.610899869,High Usage,2,9,"HOME_CHARGING, Beruwala Station, Agalawaththa",21.37
865209069520048,2025-09-01 00:00:00.000,385.115472748,High Usage,9,0,Maggona,21.4
862487061447005,2025-08-01 00:00:00.000,162.876660314,High Usage,0,8,HOME_CHARGING,9.58
,2025-10-01 00:00:00.000,0,Low Usage,8,0,Panadura  1 Station,
865209069546423,2025-09-01 00:00:00.000,94.269550129,Medium Usage,0,8,HOME_CHARGING,10.47
865209069546316,2025-10-01 00:00:00.000,212.227312861,High Usage,1,7,"HOME_CHARGING, Panadura  1 Station",11.79
865209060460707,2025-06-01 00:00:00.000,242.798763059,High Usage,7,0,Bandaragama Station,8.67
865209069519669,2024-09-01 00:00:00.000,142.620880961,Medium Usage,7,0,Moratuwa replace Station,6.79
865209060460707,2025-07-01 00:00:00.000,161.352719656,High Usage,7,0,"Bandaragama Station, Panadura  1 Station",6.21
862487061363863,2025-10-01 00:00:00.000,266.78618018,High Usage,0,5,HOME_CHARGING,13.34
865209069519974,2025-02-01 00:00:00.000,0,Low Usage,4,0,Seeduwa Station,
865209069519859,2025-09-01 00:00:00.000,0,Low Usage,0,4,HOME_CHARGING,
865209069519529,2025-05-01 00:00:00.000,30.544421349,Low Usage,3,0,Padukka Station,2.35
865209069519503,2025-09-01 00:00:00.000,397.301450163,High Usage,5,2,"Kolonnawa Station, Boralla Temporary Station, HOME_CHARGING",33.11
865209069519594,2025-06-01 00:00:00.000,40.977474038,Low Usage,0,2,HOME_CHARGING,2.05
,2025-09-01 00:00:00.000,0,Low Usage,2,0,Moratuwa replace Station,
862487061363681,2025-07-01 00:00:00.000,376.400296539,High Usage,0,1,HOME_CHARGING,28.95
862487061363822,2025-10-01 00:00:00.000,523.802930693,High Usage,0,13,HOME_CHARGING,26.19
862487061405623,2025-09-01 00:00:00.000,340.765762579,High Usage,0,10,HOME_CHARGING,12.17
865209069519164,2025-06-01 00:00:00.000,220.195205562,High Usage,7,9,"HOME_CHARGING, Soysapura Station, Panadura  1 Station",18.35
865209069519941,2024-01-01 00:00:00.000,200.529366782,High Usage,9,0,"Boralesgamuwa new Station, Moratuwa Station",11.14
865209069520030,2025-05-01 00:00:00.000,64.661457096,Medium Usage,0,7,HOME_CHARGING,2.81
865209069519669,2024-07-01 00:00:00.000,181.860404423,High Usage,6,0,Moratuwa replace Station,7.91
862487061363426,2025-07-01 00:00:00.000,157.791245419,High Usage,0,6,HOME_CHARGING,6.57
862487061363822,2025-08-01 00:00:00.000,376.306643544,High Usage,3,5,"HOME_CHARGING, Soysapura Station",13.44
865209069519529,2025-07-01 00:00:00.000,100.02422041,Medium Usage,5,0,Padukka Station,5.56
862487061363947,2025-08-01 00:00:00.000,475.382952592,High Usage,10,0,"Boralla Temporary Station, Kolonnawa Station, Kiribathgoda Station",33.96
,2025-09-01 00:00:00.000,0,Low Usage,10,0,"Boralla Temporary Station, Thalawathugoda New Station",
865209069520907,2025-09-01 00:00:00.000,89.52666487,Medium Usage,1,5,"HOME_CHARGING, Padukka Station",14.92
862487061409963,2025-09-01 00:00:00.000,600.434513309,High Usage,6,5,"HOME_CHARGING, Maggona, Kalutara North",21.44
862487061383002,2025-10-01 00:00:00.000,240.308813299,High Usage,0,5,HOME_CHARGING,14.14
862487061421984,2025-06-01 00:00:00.000,39.142495496,Low Usage,0,4,HOME_CHARGING,2.8
862487061363962,2025-09-01 00:00:00.000,197.059507779,High Usage,0,3,HOME_CHARGING,6.8
865209069519008,2025-07-01 00:00:00.000,49.734435946,Low Usage,0,3,HOME_CHARGING,2.93
865209069520931,2025-04-01 00:00:00.000,46.448791932,Low Usage,1,3,"HOME_CHARGING, Padukka Station",4.64
862487061392102,2025-10-01 00:00:00.000,407.60890207,High Usage,0,2,HOME_CHARGING,20.38
,2025-09-01 00:00:00.000,0,Low Usage,2,0,Bandaragama Station,
862487061332082,2025-08-01 00:00:00.000,63.818302996,Medium Usage,0,2,HOME_CHARGING,2.13
865209069519073,2025-03-01 00:00:00.000,653.80489759,High Usage,5,0,"Dharga Town Station, Panadura, Agalawaththa",31.13
865209069520162,2025-06-01 00:00:00.000,8.436986619,Low Usage,0,2,HOME_CHARGING,2.11
862487061422305,2025-08-01 00:00:00.000,92.355104658,Medium Usage,2,0,Moratuwa replace Station,3.08
,2025-09-01 00:00:00.000,0,Low Usage,3,0,"Moratuwa replace Station, Panadura  1 Station",
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
865209069521046,2024-09-01 00:00:00.000,25.861779321,Low Usage,1,0,Thalawathugoda New Station,8.62
862487061362964,2025-10-01 00:00:00.000,127.862212509,Medium Usage,1,0,Padukka Station,9.13
865209069519529,2025-10-01 00:00:00.000,84.210704305,Medium Usage,0,1,HOME_CHARGING,4.43
862487061422487,2025-10-01 00:00:00.000,387.835695293,High Usage,0,11,HOME_CHARGING,27.7
862487061392102,2025-09-01 00:00:00.000,311.012758008,High Usage,2,7,"HOME_CHARGING, Panadura  1 Station, Bandaragama Station",11.52
865209069520501,2025-02-01 00:00:00.000,158.855018391,High Usage,7,0,Minuwangoda Station,6.91
,2025-10-01 00:00:00.000,0,Low Usage,6,1,"Kochchikade Station, HOME_CHARGING",
865209069519529,2025-08-01 00:00:00.000,81.855048143,Medium Usage,3,4,"HOME_CHARGING, Padukka Station",4.31
862487061375123,2025-10-01 00:00:00.000,113.719173798,Medium Usage,0,4,HOME_CHARGING,5.69
865209069519594,2025-10-01 00:00:00.000,172.630513542,High Usage,0,4,HOME_CHARGING,12.33
862487061403768,2025-08-01 00:00:00.000,44.952436864,Low Usage,1,2,"HOME_CHARGING, Moratuwa replace Station",2.25
865209069520956,2024-09-01 00:00:00.000,29.520473636,Low Usage,2,0,Miriswatta Station,3.69
865209069520162,2025-05-01 00:00:00.000,6.628915385,Low Usage,0,2,HOME_CHARGING,0.95
865209069519438,2025-03-01 00:00:00.000,166.035965277,High Usage,6,0,"Panadura, Bandaragama Station",23.72
865209069546332,2025-10-01 00:00:00.000,831.663816608,High Usage,0,20,HOME_CHARGING,41.58
862487061364028,2025-08-01 00:00:00.000,858.349029178,High Usage,16,8,"Kuliyapitiya, HOME_CHARGING",31.79
865209069519941,2024-11-01 00:00:00.000,398.321478169,High Usage,16,0,"Boralesgamuwa new Station, Paliayagoda Station",17.32
862487061415101,2025-09-01 00:00:00.000,444.260829038,High Usage,0,15,HOME_CHARGING,15.32
865209069546258,2025-05-01 00:00:00.000,281.456127775,High Usage,14,0,"Soysapura Station, Moratuwa replace Station",17.59
865209069546373,2025-09-01 00:00:00.000,364.927883155,High Usage,0,12,HOME_CHARGING,13.52
865209069518521,2025-05-01 00:00:00.000,338.231486378,High Usage,2,12,"HOME_CHARGING, Soysapura Station, Boralesgamuwa new Station",10.91
865209060623064,2025-06-01 00:00:00.000,224.642647851,High Usage,13,3,"Panadura  1 Station, HOME_CHARGING, Bandaragama Station",10.7
865209069545995,2025-09-01 00:00:00.000,397.270787083,High Usage,1,11,"HOME_CHARGING, Miriswatta Station",16.55
862487061433161,2025-08-01 00:00:00.000,138.749906215,Medium Usage,0,11,HOME_CHARGING,4.62
865209060621381,2025-06-01 00:00:00.000,79.897853604,Medium Usage,6,2,"Maggona, HOME_CHARGING",6.66
865209069521004,2025-07-01 00:00:00.000,233.486429415,High Usage,8,0,"Moratuwa replace Station, Boralesgamuwa new Station",17.96
865209069545904,2024-05-01 00:00:00.000,230.680457168,High Usage,7,0,"Thalawathugoda New Station, Boralesgamuwa new Station",14.42
865209069519891,2025-08-01 00:00:00.000,29.090385788,Low Usage,5,1,"Padukka Station, HOME_CHARGING",4.85
865209069519503,2025-03-01 00:00:00.000,543.464512995,High Usage,10,0,"Kolonnawa Station, Boralla Temporary Station, Paliayagoda Station",54.35
865209060420784,2025-03-01 00:00:00.000,45.191472216,Low Usage,4,0,Thalawathugoda New Station,5.65
865209069519651,2025-03-01 00:00:00.000,70.952213393,Medium Usage,4,0,Soysapura Station,10.14
865209069545904,2025-05-01 00:00:00.000,0.8864316618,Low Usage,7,0,"Kadawatha Station, Paliayagoda Station, Boralla Temporary Station",0.89
865209069545797,2025-01-01 00:00:00.000,150.179380372,High Usage,3,0,Bandaragama Station,25.03
865209069519883,2025-10-01 00:00:00.000,254.934308331,High Usage,0,3,HOME_CHARGING,15
865209069519511,2025-08-01 00:00:00.000,43.352975048,Low Usage,2,2,"HOME_CHARGING, Thalawathugoda New Station",3.61
865209069546506,2025-06-01 00:00:00.000,18.236891656,Low Usage,0,2,HOME_CHARGING,18.24
865209069521020,2025-02-01 00:00:00.000,6.653836042,Low Usage,1,0,Seeduwa Station,1.66
862487061347627,2025-07-01 00:00:00.000,481.621329828,High Usage,0,14,HOME_CHARGING,16.61
862487061421984,2025-07-01 00:00:00.000,234.057529701,High Usage,0,13,HOME_CHARGING,7.8
862487061430845,2025-10-01 00:00:00.000,556.870180421,High Usage,0,12,HOME_CHARGING,27.84
865209069545920,2025-08-01 00:00:00.000,504.818216487,High Usage,7,10,"HOME_CHARGING, Beruwala Station",16.28
,2025-10-01 00:00:00.000,0,Low Usage,15,0,"Soysapura Station, Moratuwa replace Station, Boralla Temporary Station",
865209069520816,2025-08-01 00:00:00.000,312.451670803,High Usage,12,0,"Thalawathugoda New Station, Boralla Temporary Station",14.88
,2025-10-01 00:00:00.000,0,Low Usage,24,0,"Boralla Temporary Station, Soysapura Station, Kolonnawa Station",
862487061408965,2025-09-01 00:00:00.000,535.476327644,High Usage,0,8,HOME_CHARGING,33.47
865209069546373,2025-04-01 00:00:00.000,88.690090978,Medium Usage,0,8,HOME_CHARGING,5.54
865209069520527,2025-10-01 00:00:00.000,158.82765958,High Usage,0,8,HOME_CHARGING,8.36
862487061433542,2025-08-01 00:00:00.000,499.113360468,High Usage,11,3,"Panadura  1 Station, HOME_CHARGING, Bandaragama Station",20.8
862487061333742,2025-10-01 00:00:00.000,246.398052634,High Usage,0,7,HOME_CHARGING,12.32
862487061405144,2025-07-01 00:00:00.000,346.369082832,High Usage,0,6,HOME_CHARGING,11.17
862487061403768,2025-09-01 00:00:00.000,124.772613085,Medium Usage,0,5,HOME_CHARGING,4.8
862487061363020,2025-06-01 00:00:00.000,547.779950445,High Usage,0,5,HOME_CHARGING,18.26
865209069545573,2025-10-01 00:00:00.000,24.846415724,Low Usage,0,4,HOME_CHARGING,1.31
865209069520881,2025-04-01 00:00:00.000,87.602972744,Medium Usage,7,0,"Panadura, Panadura  1 Station, Bandaragama Station",10.95
865209069546431,2024-01-01 00:00:00.000,44.641940071,Low Usage,3,0,Moratuwa Station,4.46
865209069518646,2025-10-01 00:00:00.000,29.376574678,Low Usage,0,3,HOME_CHARGING,4.9
865209060621381,2025-09-01 00:00:00.000,45.616393264,Low Usage,2,0,Maggona,6.52
862487061333346,2025-05-01 00:00:00.000,107.25267931,Medium Usage,2,0,Agalawaththa,15.32
865209069546399,2025-02-01 00:00:00.000,29.452746537,Low Usage,2,0,Boralla Temporary Station,5.89
,2025-10-01 00:00:00.000,0,Low Usage,1,0,Maggona,
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
862487061405425,2025-09-01 00:00:00.000,97.680664945,Medium Usage,0,10,HOME_CHARGING,5.14
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
862487061423345,2025-08-01 00:00:00.000,80.644610674,Medium Usage,1,1,"HOME_CHARGING, Bandaragama Station",3.51
